Date,"Suchmaschinenoptimierung","Suchmaschinenmarketing"
2015-07-01,589,219
2015-07-02,572,183
2015-07-03,441,149
2015-07-04,189,65
2015-07-05,328,83
2015-07-06,693,236
2015-07-07,643,225
2015-07-08,628,239
2015-07-09,589,225
2015-07-10,538,187
2015-07-11,249,77
2015-07-12,481,103
2015-07-13,752,268
2015-07-14,633,250
2015-07-15,693,197
2015-07-16,568,196
2015-07-17,456,141
2015-07-18,210,62
2015-07-19,295,154
2015-07-20,631,253
2015-07-21,542,243
2015-07-22,866,252
2015-07-23,678,208
2015-07-24,438,158
2015-07-25,282,70
2015-07-26,269,82
2015-07-27,543,239
2015-07-28,543,261
2015-07-29,547,263
2015-07-30,532,219
2015-07-31,399,164
2015-08-01,206,74
2015-08-02,241,67
2015-08-03,505,222
2015-08-04,554,226
2015-08-05,554,255
2015-08-06,501,222
2015-08-07,376,166
2015-08-08,200,53
2015-08-09,241,84
2015-08-10,526,229
2015-08-11,761,265
2015-08-12,532,238
2015-08-13,574,244
2015-08-14,462,167
2015-08-15,253,71
2015-08-16,293,94
2015-08-17,644,295
2015-08-18,627,251
2015-08-19,610,273
2015-08-20,545,279
2015-08-21,388,208
2015-08-22,186,54
2015-08-23,241,108
2015-08-24,538,251
2015-08-25,871,244
2015-08-26,570,214
2015-08-27,494,222
2015-08-28,419,163
2015-08-29,199,66
2015-08-30,238,72
2015-08-31,548,213
2015-09-01,681,252
2015-09-02,619,232
2015-09-03,618,242
2015-09-04,420,196
2015-09-05,233,49
2015-09-06,258,86
2015-09-07,616,225
2015-09-08,598,277
2015-09-09,681,237
2015-09-10,571,250
2015-09-11,471,184
2015-09-12,183,59
2015-09-13,233,70
2015-09-14,577,243
2015-09-15,597,245
2015-09-16,526,239
2015-09-17,759,226
2015-09-18,440,189
2015-09-19,222,68
2015-09-20,275,93
2015-09-21,545,212
2015-09-22,532,233
2015-09-23,580,227
2015-09-24,498,241
2015-09-25,420,150
2015-09-26,214,59
2015-09-27,271,101
2015-09-28,622,270
2015-09-29,570,260
2015-09-30,508,225
2015-10-01,522,213
2015-10-02,398,172
2015-10-03,192,69
2015-10-04,240,107
2015-10-05,558,250
2015-10-06,610,312
2015-10-07,572,264
2015-10-08,794,286
2015-10-09,455,172
2015-10-10,225,60
2015-10-11,276,124
2015-10-12,656,268
2015-10-13,641,291
2015-10-14,640,292
2015-10-15,562,242
2015-10-16,442,180
2015-10-17,222,79
2015-10-18,311,109
2015-10-19,663,309
2015-10-20,834,273
2015-10-21,777,270
2015-10-22,646,251
2015-10-23,500,223
2015-10-24,222,77
2015-10-25,314,93
2015-10-26,609,304
2015-10-27,645,296
2015-10-28,610,310
2015-10-29,543,258
2015-10-30,455,218
2015-10-31,224,75
2015-11-01,283,132
2015-11-02,654,309
2015-11-03,631,293
2015-11-04,617,276
2015-11-05,620,302
2015-11-06,477,242
2015-11-07,252,106
2015-11-08,320,126
2015-11-09,636,283
2015-11-10,589,293
2015-11-11,627,293
2015-11-12,586,273
2015-11-13,460,205
2015-11-14,234,144
2015-11-15,313,123
2015-11-16,590,277
2015-11-17,609,286
2015-11-18,557,235
2015-11-19,578,234
2015-11-20,493,175
2015-11-21,289,89
2015-11-22,293,105
2015-11-23,607,262
2015-11-24,721,250
2015-11-25,564,261
2015-11-26,577,223
2015-11-27,452,177
2015-11-28,206,83
2015-11-29,305,106
2015-11-30,601,309
2015-12-01,666,243
2015-12-02,663,274
2015-12-03,659,238
2015-12-04,518,200
2015-12-05,207,72
2015-12-06,335,110
2015-12-07,605,272
2015-12-08,608,296
2015-12-09,613,246
2015-12-10,640,235
2015-12-11,461,177
2015-12-12,210,76
2015-12-13,332,119
2015-12-14,555,274
2015-12-15,605,262
2015-12-16,603,274
2015-12-17,600,239
2015-12-18,406,161
2015-12-19,225,64
2015-12-20,315,71
2015-12-21,414,227
2015-12-22,381,156
2015-12-23,257,94
2015-12-24,140,45
2015-12-25,231,45
2015-12-26,164,44
2015-12-27,320,75
2015-12-28,314,116
2015-12-29,351,122
2015-12-30,270,81
2015-12-31,204,56
2016-01-01,176,47
2016-01-02,282,88
2016-01-03,324,97
2016-01-04,587,227
2016-01-05,639,269
2016-01-06,617,257
2016-01-07,632,287
2016-01-08,513,238
2016-01-09,314,116
2016-01-10,385,157
2016-01-11,798,310
2016-01-12,681,313
2016-01-13,665,316
2016-01-14,731,380
2016-01-15,696,260
2016-01-16,283,79
2016-01-17,384,148
2016-01-18,718,346
2016-01-19,707,300
2016-01-20,707,320
2016-01-21,757,314
2016-01-22,500,227
2016-01-23,295,99
2016-01-24,402,140
2016-01-25,668,328
2016-01-26,756,318
2016-01-27,733,343
2016-01-28,601,286
2016-01-29,474,223
2016-01-30,300,113
2016-01-31,453,132
2016-02-01,658,277
2016-02-02,738,331
2016-02-03,678,281
2016-02-04,705,297
2016-02-05,522,225
2016-02-06,228,85
2016-02-07,310,117
2016-02-08,648,316
2016-02-09,582,282
2016-02-10,613,313
2016-02-11,637,295
2016-02-12,453,216
2016-02-13,283,108
2016-02-14,320,127
2016-02-15,633,341
2016-02-16,722,306
2016-02-17,697,277
2016-02-18,618,264
2016-02-19,530,235
2016-02-20,321,85
2016-02-21,368,132
2016-02-22,650,334
2016-02-23,762,327
2016-02-24,645,328
2016-02-25,572,277
2016-02-26,587,204
2016-02-27,274,87
2016-02-28,333,123
2016-02-29,637,273
2016-03-01,665,288
2016-03-02,624,272
2016-03-03,586,277
2016-03-04,488,218
2016-03-05,253,86
2016-03-06,338,121
2016-03-07,656,311
2016-03-08,665,312
2016-03-09,640,285
2016-03-10,561,281
2016-03-11,489,223
2016-03-12,241,98
2016-03-13,297,120
2016-03-14,609,330
2016-03-15,688,286
2016-03-16,568,249
2016-03-17,579,231
2016-03-18,477,181
2016-03-19,226,75
2016-03-20,347,119
2016-03-21,611,292
2016-03-22,544,269
2016-03-23,578,226
2016-03-24,430,158
2016-03-25,309,96
2016-03-26,191,56
2016-03-27,185,64
2016-03-28,269,102
2016-03-29,530,247
2016-03-30,604,280
2016-03-31,558,243
2016-04-01,417,168
2016-04-02,224,78
2016-04-03,295,108
2016-04-04,620,289
2016-04-05,621,325
2016-04-06,677,296
2016-04-07,603,270
2016-04-08,467,222
2016-04-09,197,86
2016-04-10,290,120
2016-04-11,623,299
2016-04-12,659,295
2016-04-13,565,308
2016-04-14,595,282
2016-04-15,467,189
2016-04-16,232,94
2016-04-17,301,142
2016-04-18,618,316
2016-04-19,609,281
2016-04-20,648,296
2016-04-21,599,269
2016-04-22,453,201
2016-04-23,234,98
2016-04-24,338,132
2016-04-25,601,321
2016-04-26,693,322
2016-04-27,618,314
2016-04-28,558,256
2016-04-29,411,178
2016-04-30,233,95
2016-05-01,274,102
2016-05-02,565,259
2016-05-03,584,265
2016-05-04,472,211
2016-05-05,260,92
2016-05-06,305,129
2016-05-07,170,48
2016-05-08,255,100
2016-05-09,557,290
2016-05-10,627,254
2016-05-11,549,277
2016-05-12,544,268
2016-05-13,411,157
2016-05-14,206,72
2016-05-15,241,75
2016-05-16,366,133
2016-05-17,595,259
2016-05-18,502,263
2016-05-19,617,270
2016-05-20,431,218
2016-05-21,166,61
2016-05-22,245,94
2016-05-23,598,262
2016-05-24,534,271
2016-05-25,435,218
2016-05-26,335,151
2016-05-27,367,132
2016-05-28,189,56
2016-05-29,297,118
2016-05-30,616,286
2016-05-31,553,281
2016-06-01,592,278
2016-06-02,492,251
2016-06-03,485,185
2016-06-04,283,83
2016-06-05,341,115
2016-06-06,731,336
2016-06-07,675,275
2016-06-08,652,312
2016-06-09,552,259
2016-06-10,504,199
2016-06-11,322,103
2016-06-12,614,135
2016-06-13,781,251
2016-06-14,640,287
2016-06-15,620,284
2016-06-16,558,262
2016-06-17,469,205
2016-06-18,227,85
2016-06-19,322,152
2016-06-20,605,339
2016-06-21,551,286
2016-06-22,582,272
2016-06-23,525,208
2016-06-24,353,164
2016-06-25,214,83
2016-06-26,245,101
2016-06-27,512,264
2016-06-28,510,267
2016-06-29,584,243
2016-06-30,492,231
2016-07-01,402,165
2016-07-02,220,81
2016-07-03,243,115
2016-07-04,548,273
2016-07-05,577,251
2016-07-06,479,284
2016-07-07,480,245
2016-07-08,383,173
2016-07-09,166,65
2016-07-10,188,84
2016-07-11,512,250
2016-07-12,544,262
2016-07-13,530,272
2016-07-14,509,230
2016-07-15,360,218
2016-07-16,189,72
2016-07-17,234,105
2016-07-18,517,259
2016-07-19,537,253
2016-07-20,469,258
2016-07-21,418,203
2016-07-22,365,149
2016-07-23,169,216
2016-07-24,236,85
2016-07-25,540,223
2016-07-26,513,242
2016-07-27,443,220
2016-07-28,493,229
2016-07-29,384,174
2016-07-30,147,63
